Analyses,Datasets,Platform,OS_name,Apps,Mean_Execution_time_secs,Mean_RAM_usage_Mb,Mean_Percent_CPU_usage,Mean_CPU_Time,SD_Execution_time_secs,SD_RAM_usage_Mb,SD_Percent_CPU_usage,SD_CPU_Time
Alignment Concatenation (NEXUS),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,AMAS (--check-align),211.238,2260.28828,107,226.02466,4.323317013590376,1.1025027287947937,0,4.6259492045416994
Alignment Concatenation (NEXUS),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,SEGUL CLI,2.512,637.528914,176.2,4.42608,0.019235384061671315,1.4232596217064524,0.44721359549995793,0.023890416488625863
Alignment Concatenation (NEXUS),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),1.478,638.173446,227.6,3.3637799999999998,0.008366600265340763,2.3216523727681544,2.3021728866442674,0.016568101882834932
Alignment Concatenation (NEXUS),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,SEGUL GUI (Linux),3.56,868.779688,,,0.08944271909999167,3.8921625315395376,,
Alignment Concatenation (NEXUS),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,goalign (multi-core),7.5920000000000005,3005.32968,104.2,7.9104600000000005,0.10281050529979903,303.87951597366185,0.8366600265340756,0.0864248691060626
Alignment Concatenation (NEXUS),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,goalign (single-core),7.07,3137.51014,100,7.07,0.082158383625775,290.41157120309106,0,0.082158383625775
Alignment Concatenation (NEXUS),"Oliveros et al. 2019 (522.5 MBases, DNA)",Mobile,Android,SEGUL GUI (Android),16.32,0,0,0,0.08366600265340704,0,0,0
Alignment Concatenation (NEXUS),"Oliveros et al. 2019 (522.5 MBases, DNA)",Mobile,iPadOS,SEGUL GUI (iPadOS),6.16,0,0,0,0.054772255750516904,0,0,0
Alignment Concatenation (NEXUS),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,AMAS,3.542,1734.2179800000001,425.4,15.06554,0.06260990336999414,1.0793805918210566,7.924645102463579,0.2609462550028254
Alignment Concatenation (NEXUS),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,AMAS (--check-align),506.418,1737.49296,102,516.54636,12.7963010280315,1.4212222637575032,0,13.052227048592133
Alignment Concatenation (NEXUS),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,SEGUL CLI,3.878,589.7726680000001,137.8,5.33848,0.09066421565314527,4.015575459771637,7.758865896508329,0.19297946004691768
Alignment Concatenation (NEXUS),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,SEGUL CLI (--datatype ignore),1.298,587.8039,221.2,2.8710400000000003,0.017888543819998336,5.594552699724975,2.588435821108957,0.04166470928735739
Alignment Concatenation (NEXUS),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,SEGUL GUI (Linux),4.94,766.0718760000001,,,0.08944271909999162,4.785804589625439,,
Alignment Concatenation (NEXUS),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,goalign (multi-core),5.824,2416.97814,103.4,6.02192,0.15142654985173518,226.1520582779384,0.5477225575051661,0.15593548986680367
Alignment Concatenation (NEXUS),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,goalign (single-core),5.382,2106.18904,100,5.382,0.10084641788382981,159.4465572969294,0,0.10084641788382981
Alignment Concatenation (NEXUS),"Shen et al. 2018 (398.8 MBases, AA)",Mobile,Android,SEGUL GUI (Android),17.14,0,0,0,0.21908902300206642,0,0,0
Alignment Concatenation (NEXUS),"Shen et al. 2018 (398.8 MBases, AA)",Mobile,iPadOS,SEGUL GUI (iPadOS),6.9,0,0,0,0.4582575694955843,0,0,0
Alignment Concatenation (NEXUS),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,AMAS,1.876,1142.69922,969.6,18.18824,0.01673320053068142,0.9998916451296412,13.296616110875728,0.14854419544364553
Alignment Concatenation (NEXUS),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,AMAS (--check-align),22.296,1141.8523400000001,172.6,38.473,0.5388227909062495,1.1799527884623457,2.408318915758459,0.456319230364007
Alignment Concatenation (NEXUS),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,SEGUL CLI,1.886,344.003126,148.6,2.80226,0.033615472627943135,1.4508223479737132,3.361547262794322,0.06531139257434347
Alignment Concatenation (NEXUS),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.784,343.866408,222.4,1.7436200000000002,0.005477225575051666,1.9685084074293542,5.029910535983717,0.041485202181018706
Alignment Concatenation (NEXUS),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,goalign (multi-core),3.6879999999999997,1544.05784,104.4,3.85052,0.10305338422390603,115.52394174214706,0.8944271909999159,0.12173188571610977
Alignment Concatenation (NEXUS),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,goalign (single-core),3.212,1555.25236,100,3.212,0.04764451699828638,105.81626982658672,0,0.04764451699828638
Alignment Concatenation (PHYLIP),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,AMAS,1.678,1261.67032,402.8,6.75312,0.048682645778552316,0.9251008145061633,15.578831791889916,0.08597201288791592
Alignment Concatenation (PHYLIP),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,AMAS (--check-align),9.142,1261.2367199999999,155.6,14.223040000000001,0.18458060569843227,0.6987451910388999,1.51657508881031,0.1828567280687263
Alignment Concatenation (PHYLIP),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,SEGUL CLI,1.494,375.814066,164,2.45034,0.015165750888103114,2.406608127475244,4.06201920231798,0.07403025057366756
Alignment Concatenation (PHYLIP),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.854,373.882032,208,1.7760799999999999,0.01140175425099139,4.009831520434488,4.06201920231798,0.02674858874781999
Alignment Concatenation (PHYLIP),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,goalign (multi-core),5.564,2088.05858,105.6,5.8756,0.015165750888103187,170.12388879392276,0.5477225575051661,0.037647841903620534
Alignment Concatenation (PHYLIP),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,goalign (single-core),5.008,2064.8367200000002,100,5.008,0.10521406750050105,132.4027521414566,0,0.10521406750050105
Alignment Concatenation (PHYLIP),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,AMAS,1.534,2004.87578,390.8,5.9896,0.047749345545253334,1.0873110258799161,14.889593681494468,0.08627664805728104
Alignment Concatenation (PHYLIP),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,AMAS (--check-align),10.498000000000001,2004.99142,142.2,14.92188,0.3873886936914911,0.9533168371533778,2.04939015319192,0.33626101766336214
Alignment Concatenation (PHYLIP),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,SEGUL CLI,2.954,572.962498,137.2,4.05272,0.04037325847637267,1.6623699787110884,1.4832396974191326,0.057373225462754036
Alignment Concatenation (PHYLIP),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),1.022,572.035158,208.2,2.1278599999999996,0.004472135954999583,1.526996782059433,1.9235384061671346,0.0278441735377439
Alignment Concatenation (PHYLIP),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,goalign (multi-core),7.5360000000000005,3714.6586,103.6,7.80694,0.232873356140199,340.6934491667547,0.5477225575051661,0.22899995196506057
Alignment Concatenation (PHYLIP),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,goalign (single-core),7.026,4025.43204,100,7.026,0.10163660757817526,288.6798755011907,0,0.10163660757817526
Alignment Concatenation (PHYLIP),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,AMAS,1.3319999999999999,1798.67732,672.6,8.93422,0.07628892449104256,1.105360157143335,41.806698027947625,0.13611705256873616
Alignment Concatenation (PHYLIP),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,AMAS (--check-align),4.8180000000000005,1798.64688,255.8,12.320359999999999,0.10894952959971893,0.8761131844687459,4.868264577855234,0.08338634780346182
Alignment Concatenation (PHYLIP),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,SEGUL CLI,2.2479999999999998,496.156254,157.6,3.54284,0.021679483388678686,1.1650058646118493,0.5477225575051661,0.03532397203033636
Alignment Concatenation (PHYLIP),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),1.01,495.47265799999997,224,2.262,0.021213203435596444,1.6036340094360773,3.3166247903554,0.03341339551736696
Alignment Concatenation (PHYLIP),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,goalign (multi-core),8.28,2627.86482,103.2,8.54504,0.07582875444051547,278.2084112177812,0.44721359549995793,0.09590903502798911
Alignment Concatenation (PHYLIP),"Jarvis et al. 2014 (453.3 MBases, DNA)",Desktop,Linux,goalign (single-core),7.79,2964.50936,100,7.79,0.060415229867972965,259.41003362989443,0,0.060415229867972965
Alignment Concatenation (PHYLIP),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,AMAS,3.24,2259.67032,353.6,11.45528,0.029999999999999954,0.20893299643672186,6.58027355054484,0.1342354535880886
Alignment Concatenation (PHYLIP),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,AMAS (--check-align),213.762,2260.05154,103.2,220.59198,3.6046733555205823,1.164041815399992,0.44721359549995793,3.0112364581679767
Alignment Concatenation (PHYLIP),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,SEGUL CLI,2.5,607.4390539999999,169,4.2251,0.03535533905932725,0.9472713611104375,1.7320508075688772,0.08046148146784245
Alignment Concatenation (PHYLIP),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),1.46,607.555468,217.6,3.17694,0.025495097567963948,1.3811238141889923,1.140175425099138,0.05647847377541295
Alignment Concatenation (PHYLIP),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,goalign (multi-core),9.792,3670.3234399999997,103.6,10.14456,0.07886697661252116,311.4615654161248,0.5477225575051661,0.1037633509482032
Alignment Concatenation (PHYLIP),"Oliveros et al. 2019 (522.5 MBases, DNA)",Desktop,Linux,goalign (single-core),9.256,3470.90314,100,9.256,0.04669047011971462,10.598452479867044,0,0.04669047011971462
Alignment Concatenation (PHYLIP),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,AMAS,3.472,1738.8281399999998,267,9.26976,0.07190271204899015,5.036384119882065,3.082207001484488,0.19377407721364573
Alignment Concatenation (PHYLIP),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,AMAS (--check-align),497.412,1737.01094,101,502.38612,10.881492085187592,1.2897417408147813,0,10.990307006039448
Alignment Concatenation (PHYLIP),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,SEGUL CLI,3.848,494.568756,137.2,5.279380000000001,0.03492849839314594,1.8616981499373035,0.44721359549995793,0.0398546985937669
Alignment Concatenation (PHYLIP),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,SEGUL CLI (--datatype ignore),1.25,494.935154,214,2.6747199999999998,0.014142135623730963,1.392009464112947,2.6457513110645907,0.011907644603363073
Alignment Concatenation (PHYLIP),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,goalign (multi-core),9.016,2678.54142,102.4,9.232700000000001,0.1248198702130394,186.95088237445412,0.5477225575051661,0.16188440320179065
Alignment Concatenation (PHYLIP),"Shen et al. 2018 (398.8 MBases, AA)",Desktop,Linux,goalign (single-core),8.486,2837.5367,100,8.486,0.1546932448428177,19.15356830136351,0,0.1546932448428177
Alignment Concatenation (PHYLIP),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,AMAS,1.476,1143.2797,335.2,4.9474,0.01140175425099139,1.2303165039940178,4.658325879540846,0.06556492964992805
Alignment Concatenation (PHYLIP),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,AMAS (--check-align),21.574,1143.31718,115.8,24.98246,0.24684002916869127,1.1743493164301397,0.44721359549995793,0.27713444029928896
Alignment Concatenation (PHYLIP),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,SEGUL CLI,1.914,332.835152,143.8,2.75222,0.019493588689617945,1.3650475275498821,0.8366600265340756,0.016401280437819542
Alignment Concatenation (PHYLIP),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.756,334.640622,211.4,1.59758,0.015165750888103114,1.2109166399550328,6.465291950097845,0.03206761606356164
Alignment Concatenation (PHYLIP),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,goalign (multi-core),5.548,1855.25156,103.8,5.757960000000001,0.19266551326067652,166.13861805327804,0.8366600265340756,0.17136454709186477
Alignment Concatenation (PHYLIP),"Wu et al. 2018 (257.1 MBases, AA)",Desktop,Linux,goalign (single-core),4.938,1869.78284,100,4.938,0.0408656334834054,150.44351973758452,0,0.0408656334834054
Alignment Conversion (FASTA),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,AMAS,1.652,366.677344,375.8,6.198779999999999,0.07854934754662192,1.844010483194181,16.48332490731163,0.12202385832287052
Alignment Conversion (FASTA),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,AMAS (--check-align),9.074,367.310158,150.6,13.66554,0.13740451229854103,1.541942423088472,0.5477225575051661,0.22085982658690995
Alignment Conversion (FASTA),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,SEGUL CLI,0.392,19.49375,602.6,2.36048,0.010954451150103331,1.3282214163532753,20.305171754998774,0.02341392747917354
Alignment Conversion (FASTA),"Chan et al. 2020 (239.3 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.394,20.025,393.4,1.54764,0.01816590212458494,0.9329464157434229,30.8431515899397,0.10654010043171538
Alignment Conversion (FASTA),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,AMAS,0.996,420.503908,475.2,4.7321599999999995,0.008944271909999166,3.196443399736649,13.442470011125186,0.09956115206243858
Alignment Conversion (FASTA),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,AMAS (--check-align),9.96,420.26563,137.8,13.72484,0.022360679774998216,1.9824752428214474,0.8366600265340756,0.08074554476873468
Alignment Conversion (FASTA),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,SEGUL CLI,0.28800000000000003,15.79375,1465.4,4.1852,0.029495762407505254,0.9235883516802814,150.14426395969977,0.064781633199542
Alignment Conversion (FASTA),"Esselstyn et al. 2021 (358.1 MBases, DNA)",Desktop,Linux,SEGUL CLI (--datatype ignore),0.26,15.4828124,498.4,1.2856,0.029154759474226504,1.0481773678778317,44.57353474877217,0.02311406498217048
