taxon,locus_counts,site_counts
Crocidura_quasielongata_Tompotika_FMNH213341,2555,1738073
Crocidura_quasielongata_Torompupu_MVZ238107_NMV_Z63366,3060,3059347
Crocidura_quasielongata_Torompupu_NMV_Z61984_KCR3276,3065,2767324
Crocidura_rhoditis_Ambang_LSUMZ39038,2882,2219928
Crocidura_rhoditis_Ambang_LSUMZ39050,2876,2345035
Crocidura_rhoditis_Temboan_PARATYPE_FMNH43858,2370,957986
Crocidura_rhoditis_Temboan_PARATYPE_USNM217552,1459,423387
Crocidura_rhoditis_Temboan_PARATYPE_USNM217554,1745,518500
Crocidura_solita_Gandangdewata_FMNH218770,3005,2831885
Crocidura_solita_Gandangdewata_FMNH218776,3015,3127725
Crocidura_solita_Gandangdewata_NMV_Z21981_KCR1552,2539,1385426
Crocidura_solita_Latimojong_FMNH213015,3094,2456759
Crocidura_solita_Latimojong_FMNH213064,2471,1242864
Crocidura_solita_Rorekatimbo_FMNH213202,3251,2196390
Crocidura_tenebrae_Ambang_LSUMZ39025,3081,2651638
Crocidura_tenebrae_Ambang_LSUMZ39273,2911,2434555
DIPLOPULCHELLUM_MVZ179157,843,344877
MYOGEATA_FMNH158299,3128,2291452
PALAWANMUSCORUM_DSB4854,2400,1923035
PARACROSCHOUTEDENI_FMNH167721,2897,2227667
SCUTITHORI_FMNH219669,2648,1220978
SUNCUSMURINUS_KU164724,3358,2147643
