Analyses,Datasets,OS_name,Apps,Execution_time_secs,RAM_usage_Mb,CPU_usage
Alignment concatenation,Oliveros et al. 2019 (DNA),Windows (WSL),SEGUL (--datatype ignore),3.507,657.7248,192.2
Alignment concatenation,Shen et al. 2018 (AA),Linux,AMAS,3.753,1778.474,450.9
Alignment concatenation,Shen et al. 2018 (AA),Linux,AMAS (--check-align),481.112,1781.4012,102
Alignment concatenation,Shen et al. 2018 (AA),Linux,SEGUL,5.557,606.4348,127.4
Alignment concatenation,Shen et al. 2018 (AA),Linux,SEGUL (--datatype ignore),1.343,610.5484,215.5
Alignment concatenation,Shen et al. 2018 (AA),macOS,AMAS,5.26,1823.4816,313.4
Alignment concatenation,Shen et al. 2018 (AA),macOS,AMAS (--check-align),403.033,1829.9712,102
Alignment concatenation,Shen et al. 2018 (AA),macOS,SEGUL,5.083,600.4208,120.9
Alignment concatenation,Shen et al. 2018 (AA),macOS,SEGUL (--datatype ignore),1.335,606.3856,183.4
Alignment concatenation,Shen et al. 2018 (AA),macOS (Mb Air),AMAS,22.459,1692.682,222.8
Alignment concatenation,Shen et al. 2018 (AA),macOS (Mb Air),AMAS (--check-align),1142.847,1331.2828,102
Alignment concatenation,Shen et al. 2018 (AA),macOS (Mb Air),SEGUL,17.006,463.88439999999997,108
Alignment concatenation,Shen et al. 2018 (AA),macOS (Mb Air),SEGUL (--datatype ignore),6.931,460.5384,131.1
Alignment concatenation,Shen et al. 2018 (AA),Windows (WSL),AMAS,6.413,1782.8944,282.9
Alignment concatenation,Shen et al. 2018 (AA),Windows (WSL),AMAS (--check-align),493.569,1785.936,102
Alignment concatenation,Shen et al. 2018 (AA),Windows (WSL),SEGUL,6.745,779.1244,130.2
Alignment concatenation,Shen et al. 2018 (AA),Windows (WSL),SEGUL (--datatype ignore),2.501,778.7452,184
Alignment concatenation,Wu et al. 2018 (AA),Linux,AMAS,1.979,1171.3532,1001.5
Alignment concatenation,Wu et al. 2018 (AA),Linux,AMAS (--check-align),24.331,1171.598,174.4
Alignment concatenation,Wu et al. 2018 (AA),Linux,SEGUL,2.956,353.5516,134
Alignment concatenation,Wu et al. 2018 (AA),Linux,SEGUL (--datatype ignore),0.796,353.6824,229
Alignment concatenation,Wu et al. 2018 (AA),macOS,AMAS,3.664,1288.9296,540.1
Alignment concatenation,Wu et al. 2018 (AA),macOS,AMAS (--check-align),20.843,1294.8272,177
Alignment concatenation,Wu et al. 2018 (AA),macOS,SEGUL,2.6,385.496,125.9
Alignment concatenation,Wu et al. 2018 (AA),macOS,SEGUL (--datatype ignore),0.826,381.0224,181.6
Alignment concatenation,Wu et al. 2018 (AA),macOS (Mb Air),AMAS,21.249,1245.4612,280.9
Alignment concatenation,Wu et al. 2018 (AA),macOS (Mb Air),AMAS (--check-align),71.798,1283.716,153.3
Alignment concatenation,Wu et al. 2018 (AA),macOS (Mb Air),SEGUL,9.304,316.9704,111.7
Alignment concatenation,Wu et al. 2018 (AA),macOS (Mb Air),SEGUL (--datatype ignore),4.358,316.5276,129.4
Alignment concatenation,Wu et al. 2018 (AA),Windows (WSL),AMAS,3.18,1165.7056,722
Alignment concatenation,Wu et al. 2018 (AA),Windows (WSL),AMAS (--check-align),23.913,1165.51,183.2
Alignment concatenation,Wu et al. 2018 (AA),Windows (WSL),SEGUL,3.804,349.5484,162.5
Alignment concatenation,Wu et al. 2018 (AA),Windows (WSL),SEGUL (--datatype ignore),1.863,350.0028,236.5
Summary statistics,Chan et al. 2020 (DNA),Linux,AMAS,40.063,1006.6548,415.8
Summary statistics,Chan et al. 2020 (DNA),Linux,SEGUL,0.729,89.6696,1729.6
Summary statistics,Chan et al. 2020 (DNA),macOS,AMAS,29.287,817.2144000000001,474.7
Summary statistics,Chan et al. 2020 (DNA),macOS,SEGUL,1.588,98.3952,666.4
Summary statistics,Chan et al. 2020 (DNA),macOS (Mb Air),AMAS,271.298,2234.02,95
Summary statistics,Chan et al. 2020 (DNA),macOS (Mb Air),SEGUL,13.644,76.4988,263.8
Summary statistics,Chan et al. 2020 (DNA),Windows (WSL),AMAS,103.961,5052.2312,99.6
Summary statistics,Chan et al. 2020 (DNA),Windows (WSL),SEGUL,1.262,85.294,1452.4
Summary statistics,Esselstyn et al. 2021 (DNA),Linux,AMAS,41.717999999999996,1244.2007999999998,427.1
Summary statistics,Esselstyn et al. 2021 (DNA),Linux,SEGUL,0.744,63.4304,2094.7
Summary statistics,Esselstyn et al. 2021 (DNA),macOS,AMAS,34.559,970.8992000000001,463.6
Summary statistics,Esselstyn et al. 2021 (DNA),macOS,SEGUL,1.744,58.187200000000004,754.3
Summary statistics,Esselstyn et al. 2021 (DNA),macOS (Mb Air),AMAS,326.973,2199.862,95.6
Summary statistics,Esselstyn et al. 2021 (DNA),macOS (Mb Air),SEGUL,15.211,43.302800000000005,265.2
Summary statistics,Esselstyn et al. 2021 (DNA),Windows (WSL),AMAS,118.362,5807.734,99.5
Summary statistics,Esselstyn et al. 2021 (DNA),Windows (WSL),SEGUL,1.002,62.2464,1800.4
Summary statistics,Jarvis et al. 2014 (DNA),Linux,AMAS,48.424,1473.99,492.8
Summary statistics,Jarvis et al. 2014 (DNA),Linux,SEGUL,0.888,51.910000000000004,2218
Summary statistics,Jarvis et al. 2014 (DNA),macOS,AMAS,64.526,1099.9984,344.9
Summary statistics,Jarvis et al. 2014 (DNA),macOS,SEGUL,2.3329999999999997,43.7024,759.5
Summary statistics,Jarvis et al. 2014 (DNA),macOS (Mb Air),AMAS,484.541,2342.5216,94.5
Summary statistics,Jarvis et al. 2014 (DNA),macOS (Mb Air),SEGUL,20.587,29.4668,276.4
Summary statistics,Jarvis et al. 2014 (DNA),Windows (WSL),AMAS,175.90200000000002,8923.7328,99.8
Summary statistics,Jarvis et al. 2014 (DNA),Windows (WSL),SEGUL,1.103,50.9152,1985.9
Summary statistics,Oliveros et al. 2019 (DNA),Linux,AMAS,79.21000000000001,2022.7076,391.5
Summary statistics,Oliveros et al. 2019 (DNA),Linux,SEGUL,1.016,111.63239999999999,1871.9
Summary statistics,Oliveros et al. 2019 (DNA),macOS,AMAS,119.311,1448.5824,218.7
Summary statistics,Oliveros et al. 2019 (DNA),macOS,SEGUL,2.263,118.9632,721.9
Summary statistics,Oliveros et al. 2019 (DNA),macOS (Mb Air),AMAS,615.363,2288.9928,90.5
Summary statistics,Oliveros et al. 2019 (DNA),macOS (Mb Air),SEGUL,20.06,87.99719999999999,250.5
Summary statistics,Oliveros et al. 2019 (DNA),Windows (WSL),AMAS,191.152,9878.5268,99.9
Summary statistics,Oliveros et al. 2019 (DNA),Windows (WSL),SEGUL,1.3170000000000002,110.9244,1641.6
Summary statistics,Shen et al. 2018 (AA),Linux,AMAS,64.46000000000001,1724.7903999999999,371.3
Summary statistics,Shen et al. 2018 (AA),Linux,SEGUL,1.118,155.10240000000002,1885.5
Summary statistics,Shen et al. 2018 (AA),macOS,AMAS,75.14,1239.7104,276.2
Summary statistics,Shen et al. 2018 (AA),macOS,SEGUL,2.492,177.40800000000002,729.6
Summary statistics,Shen et al. 2018 (AA),macOS (Mb Air),AMAS,509.86,2283.6584,87.6
Summary statistics,Shen et al. 2018 (AA),macOS (Mb Air),SEGUL,14.6,115.7676,336.5
Summary statistics,Shen et al. 2018 (AA),Windows (WSL),AMAS,142.666,7268.8684,99.4
Summary statistics,Shen et al. 2018 (AA),Windows (WSL),SEGUL,1.435,157.948,1553.6
Summary statistics,Wu et al. 2018 (AA),Linux,AMAS,38.648,1002.6352,386.2
Summary statistics,Wu et al. 2018 (AA),Linux,SEGUL,0.6859999999999999,76.212,1907.7
Summary statistics,Wu et al. 2018 (AA),macOS,AMAS,26.778000000000002,799.2048,456.6
Summary statistics,Wu et al. 2018 (AA),macOS,SEGUL,1.486,71.9648,729.3
Summary statistics,Wu et al. 2018 (AA),macOS (Mb Air),AMAS,259.52,2336.1592,94.9
Summary statistics,Wu et al. 2018 (AA),macOS (Mb Air),SEGUL,10.34,59.690400000000004,329.2
Summary statistics,Wu et al. 2018 (AA),Windows (WSL),AMAS,89.687,5072.152400000001,99.4
Summary statistics,Wu et al. 2018 (AA),Windows (WSL),SEGUL,0.945,74.0712,1642.3
