Apps,Version,Pubs,Datasets,NTAX,Character_counts,Alignment_counts,Site_counts,Datatype,Analyses,Platform,OS_name,CPU,Benchmark_dates,Latest_bench,Execution_time,RAM_usage_kb,Percent_CPU_usage,Execution_time_secs,RAM_usage_Mb
SEGUL (--datatype ignore),v0.20.0,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.49,622520,216,1.49,607.9297
SEGUL (--datatype ignore),v0.20.0,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.48,621424,219,1.48,606.8594
SEGUL (--datatype ignore),v0.20.0,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.43,624284,217,1.43,609.65234
SEGUL (--datatype ignore),v0.20.0,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.01,507760,221,1.01,495.85938
SEGUL (--datatype ignore),v0.20.0,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.02,507444,221,1.02,495.55078
SEGUL (--datatype ignore),v0.20.0,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.04,507848,223,1.04,495.9453
SEGUL (--datatype ignore),v0.20.0,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:00.99,504656,228,0.99,492.82813
SEGUL (--datatype ignore),v0.20.0,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:00.99,509112,227,0.99,497.1797
SEGUL (--datatype ignore),v0.20.0,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:00.85,378604,211,0.85,369.73047
SEGUL (--datatype ignore),v0.20.0,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:00.87,380212,201,0.87,371.30078
SEGUL (--datatype ignore),v0.20.0,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:00.86,387572,210,0.86,378.48828
SEGUL (--datatype ignore),v0.20.0,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:00.85,386924,210,0.85,377.85547
SEGUL (--datatype ignore),v0.20.0,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:00.84,380964,208,0.84,372.03516
AMAS,v1.02,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.53,2052440,394,1.53,2004.3359
AMAS,v1.02,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.56,2054452,377,1.56,2006.3008
AMAS,v1.02,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.50,2053772,395,1.5,2005.6367
AMAS,v1.02,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.60,2051652,376,1.6,2003.5664
AMAS,v1.02,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.48,2052648,412,1.48,2004.5391
AMAS,v1.02,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:03.27,2313880,343,3.27,2259.6484
AMAS,v1.02,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:03.23,2313760,357,3.23,2259.5313
AMAS,v1.02,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:03.27,2313652,352,3.27,2259.4258
AMAS,v1.02,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:03.20,2314192,360,3.2,2259.9531
AMAS,v1.02,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:03.23,2314028,356,3.23,2259.793
AMAS,v1.02,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.27,1840988,704,1.27,1797.8398
AMAS,v1.02,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.23,1841672,728,1.23,1798.5078
AMAS,v1.02,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.39,1840968,627,1.39,1797.8203
AMAS,v1.02,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.38,1841860,650,1.38,1798.6914
AMAS,v1.02,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.39,1843740,654,1.39,1800.5273
AMAS,v1.02,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.63,1291120,417,1.63,1260.8594
AMAS,v1.02,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.72,1293084,396,1.72,1262.7773
AMAS,v1.02,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.62,1292844,422,1.62,1262.543
AMAS,v1.02,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.71,1291128,389,1.71,1260.8672
AMAS,v1.02,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:01.71,1291576,390,1.71,1261.3047
AMAS (--check-align),v1.02,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:11.08,2054484,139,11.08,2006.332
AMAS (--check-align),v1.02,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:10.56,2051780,142,10.56,2003.6914
AMAS (--check-align),v1.02,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:10.07,2053344,144,10.07,2005.2188
AMAS (--check-align),v1.02,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:10.55,2053152,142,10.55,2005.0313
AMAS (--check-align),v1.02,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:10.23,2052796,144,10.23,2004.6836
AMAS (--check-align),v1.02,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,3:35.87,2314776,103,215.87,2260.5234
AMAS (--check-align),v1.02,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,3:28.56,2313888,104,208.56,2259.6563
AMAS (--check-align),v1.02,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,3:31.40,2313084,103,211.4,2258.871
AMAS (--check-align),v1.02,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,3:36.43,2316120,103,216.43,2261.836
AMAS (--check-align),v1.02,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,3:36.55,2313596,103,216.55,2259.371
AMAS (--check-align),v1.02,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:04.78,1841104,256,4.78,1797.9531
AMAS (--check-align),v1.02,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:04.91,1842476,251,4.91,1799.293
AMAS (--check-align),v1.02,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:04.94,1843060,251,4.94,1799.8633
AMAS (--check-align),v1.02,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:04.67,1841148,262,4.67,1797.9961
AMAS (--check-align),v1.02,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:04.79,1841284,259,4.79,1798.1289
AMAS (--check-align),v1.02,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:09.00,1291828,156,9,1261.5508
AMAS (--check-align),v1.02,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:09.40,1291764,154,9.4,1261.4883
AMAS (--check-align),v1.02,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:09.25,1291584,154,9.25,1261.3125
AMAS (--check-align),v1.02,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:09.11,1292088,157,9.11,1261.8047
AMAS (--check-align),v1.02,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:08.95,1290268,157,8.95,1260.0273
goalign (multi-core),,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:07.41,3544072,104,7.41,3461.0078
goalign (multi-core),,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:07.58,3572268,104,7.58,3488.543
goalign (multi-core),,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:07.92,4158548,103,7.92,4061.082
goalign (multi-core),,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:07.44,3532520,104,7.44,3449.7266
goalign (multi-core),,Esselstyn et al. 2021,Esselstyn et al. 2021 (DNA),102,358099656,4040,5398947,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:07.33,4211644,103,7.33,4112.9336
goalign (multi-core),,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:09.79,3546952,104,9.79,3463.8203
goalign (multi-core),,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:09.85,4119432,103,9.85,4022.8828
goalign (multi-core),,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:09.71,4094268,103,9.71,3998.3086
goalign (multi-core),,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:09.72,3540360,104,9.72,3457.3828
goalign (multi-core),,Oliveros et al. 2019,Oliveros et al. 2019 (DNA),221,522529858,4060,2464926,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:09.89,3491044,104,9.89,3409.2227
goalign (multi-core),,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:08.16,2593560,103,8.16,2532.7734
goalign (multi-core),,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:08.34,3185472,103,8.34,3110.8125
goalign (multi-core),,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:08.33,2448980,103,8.33,2391.582
goalign (multi-core),,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:08.32,2612300,104,8.32,2551.0742
goalign (multi-core),,Jarvis et al. 2014,Jarvis et al. 2014 (DNA),49,453333006,3679,9251694,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:08.25,2614356,103,8.25,2553.082
goalign (multi-core),,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:05.56,2036952,106,5.56,1989.2109
goalign (multi-core),,Chan et al. 2020,Chan et al. 2020 (DNA),50,239310808,13181,6180393,DNA,Alignment Concatenation (PHYLIP),Desktop,Linux,AMD Ryzen 9 5900X 12-Core Processor,02/01/2024,TRUE,0:05.54,2302916,105,5.54,2248.9414
