Apps,Analyses,Datasets,OS_name,ntax,alignment_counts,site_counts,Core_counts,Thread_counts,RAM_size_gb,RAM_usage_kb,CPU_usage,Execution_time_secs,RAM_usage_Mb
AMAS,Alignment concatenation,Oliveros et al. 2019 (DNA),macOS (Mb Air),221,4060,2464926,2,4,4,1992426.4,218.8,29.352,1992.4264
AMAS,Alignment concatenation,Oliveros et al. 2019 (DNA),Windows (WSL),221,4060,2464926,12,24,32,2475218,161.75,27.0685,2475.218
AMAS,Alignment concatenation,Shen et al. 2018 (AA),Linux,343,2408,1162805,12,24,32,1778474,450.9,3.753,1778.474
AMAS,Alignment concatenation,Shen et al. 2018 (AA),macOS,343,2408,1162805,8,8,8,1823481.6,313.4,5.26,1823.4816
AMAS,Alignment concatenation,Shen et al. 2018 (AA),macOS (Mb Air),343,2408,1162805,2,4,4,1692682,222.8,22.459,1692.682
AMAS,Alignment concatenation,Shen et al. 2018 (AA),Windows (WSL),343,2408,1162805,12,24,32,1782894.4,282.9,6.413,1782.8944
AMAS,Alignment concatenation,Wu et al. 2018 (AA),Linux,90,5162,3050198,12,24,32,1171353.2,1001.5,1.979,1171.3532
AMAS,Alignment concatenation,Wu et al. 2018 (AA),macOS,90,5162,3050198,8,8,8,1288929.6,540.1,3.664,1288.9296
AMAS,Alignment concatenation,Wu et al. 2018 (AA),macOS (Mb Air),90,5162,3050198,2,4,4,1245461.2,280.9,21.249,1245.4612
AMAS,Alignment concatenation,Wu et al. 2018 (AA),Windows (WSL),90,5162,3050198,12,24,32,1165705.6,722,3.18,1165.7056
AMAS,Alignment splitting,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,717030,100.4,5.08,717.03
AMAS,Summary statistics,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,1006654.8,415.8,40.063,1006.6548
AMAS,Summary statistics,Chan et al. 2020 (DNA),macOS,50,13181,6180393,8,8,8,817214.4,474.7,29.287,817.2144000000001
AMAS,Summary statistics,Chan et al. 2020 (DNA),macOS (Mb Air),50,13181,6180393,2,4,4,2234020,95,271.298,2234.02
AMAS,Summary statistics,Chan et al. 2020 (DNA),Windows (WSL),50,13181,6180393,12,24,32,5052231.2,99.6,103.961,5052.2312
AMAS,Summary statistics,Esselstyn et al. 2021 (DNA),Linux,102,4040,5398947,12,24,32,1243902.2,425.95,41.853,1243.9022
AMAS,Summary statistics,Esselstyn et al. 2021 (DNA),macOS,102,4040,5398947,8,8,8,969468,457.95,35.137,969.468
AMAS,Summary statistics,Esselstyn et al. 2021 (DNA),macOS (Mb Air),102,4040,5398947,2,4,4,2199862,95.6,326.973,2199.862
AMAS,Summary statistics,Esselstyn et al. 2021 (DNA),Windows (WSL),102,4040,5398947,12,24,32,5807734,99.5,118.362,5807.734
AMAS,Summary statistics,Jarvis et al. 2014 (DNA),Linux,49,3679,9251694,12,24,32,1474757.6,492.65,48.429,1474.7576
AMAS,Summary statistics,Jarvis et al. 2014 (DNA),macOS,49,3679,9251694,8,8,8,1099933.6,305.5,73.4975,1099.9335999999998
AMAS,Summary statistics,Jarvis et al. 2014 (DNA),macOS (Mb Air),49,3679,9251694,2,4,4,2342521.6,94.5,484.541,2342.5216
AMAS,Summary statistics,Jarvis et al. 2014 (DNA),Windows (WSL),49,3679,9251694,12,24,32,8923732.8,99.8,175.90200000000002,8923.7328
AMAS,Summary statistics,Oliveros et al. 2019 (DNA),Linux,221,4060,2464926,12,24,32,2022712.2,391.8,79.1465,2022.7122
AMAS,Summary statistics,Oliveros et al. 2019 (DNA),macOS,221,4060,2464926,8,8,8,1448960.8,201.85,130.99349999999998,1448.9607999999998
AMAS,Summary statistics,Oliveros et al. 2019 (DNA),macOS (Mb Air),221,4060,2464926,2,4,4,2288992.8,90.5,615.363,2288.9928
AMAS,Summary statistics,Oliveros et al. 2019 (DNA),Windows (WSL),221,4060,2464926,12,24,32,9878526.8,99.9,191.152,9878.5268
AMAS,Summary statistics,Shen et al. 2018 (AA),Linux,343,2408,1162805,12,24,32,1724790.4,371.3,64.46000000000001,1724.7903999999999
AMAS,Summary statistics,Shen et al. 2018 (AA),macOS,343,2408,1162805,8,8,8,1239710.4,276.2,75.14,1239.7104
AMAS,Summary statistics,Shen et al. 2018 (AA),macOS (Mb Air),343,2408,1162805,2,4,4,2283658.4,87.6,509.86,2283.6584
AMAS,Summary statistics,Shen et al. 2018 (AA),Windows (WSL),343,2408,1162805,12,24,32,7268868.4,99.4,142.666,7268.8684
AMAS,Summary statistics,Wu et al. 2018 (AA),Linux,90,5162,3050198,12,24,32,1002635.2,386.2,38.648,1002.6352
AMAS,Summary statistics,Wu et al. 2018 (AA),macOS,90,5162,3050198,8,8,8,799204.8,456.6,26.778000000000002,799.2048
AMAS,Summary statistics,Wu et al. 2018 (AA),macOS (Mb Air),90,5162,3050198,2,4,4,2336159.2,94.9,259.52,2336.1592
AMAS,Summary statistics,Wu et al. 2018 (AA),Windows (WSL),90,5162,3050198,12,24,32,5072152.4,99.4,89.687,5072.152400000001
AMAS (--check-align),Alignment concatenation,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,1291574.4,202.7,10.299,1291.5744
AMAS (--check-align),Alignment concatenation,Chan et al. 2020 (DNA),macOS,50,13181,6180393,8,8,8,1423816,210.8,8.466000000000001,1423.8159999999998
AMAS (--check-align),Alignment concatenation,Chan et al. 2020 (DNA),macOS (Mb Air),50,13181,6180393,2,4,4,1343991.6,166.1,30.369,1343.9916
AMAS (--check-align),Alignment concatenation,Chan et al. 2020 (DNA),Windows (WSL),50,13181,6180393,12,24,32,1292651.2,153.6,21.508,1292.6512
AMAS (--check-align),Alignment concatenation,Esselstyn et al. 2021 (DNA),Linux,102,4040,5398947,12,24,32,2053996,203.8,11.2905,2053.996
AMAS (--check-align),Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS,102,4040,5398947,8,8,8,1863260,189.2,11.5835,1863.26
AMAS (--check-align),Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS (Mb Air),102,4040,5398947,2,4,4,1812339.6,153.9,39.859,1812.3396
AMAS (--check-align),Alignment concatenation,Esselstyn et al. 2021 (DNA),Windows (WSL),102,4040,5398947,12,24,32,2123799.2,124.5,39.218,2123.7992
AMAS (--check-align),Alignment concatenation,Jarvis et al. 2014 (DNA),Linux,49,3679,9251694,12,24,32,1843127,382.15,5.66,1843.127
AMAS (--check-align),Alignment concatenation,Jarvis et al. 2014 (DNA),macOS,49,3679,9251694,8,8,8,1901779.2,307.3,6.553,1901.7792
AMAS (--check-align),Alignment concatenation,Jarvis et al. 2014 (DNA),macOS (Mb Air),49,3679,9251694,2,4,4,1765895.6,197,26.985,1765.8955999999998
AMAS (--check-align),Alignment concatenation,Jarvis et al. 2014 (DNA),Windows (WSL),49,3679,9251694,12,24,32,1846688.4,151.6,28.777,1846.6884
AMAS (--check-align),Alignment concatenation,Oliveros et al. 2019 (DNA),Linux,221,4060,2464926,12,24,32,2315196.8,109.45,207.187,2315.1967999999997
AMAS (--check-align),Alignment concatenation,Oliveros et al. 2019 (DNA),macOS,221,4060,2464926,8,8,8,1832239.2,110,166.28,1832.2392
AMAS (--check-align),Alignment concatenation,Oliveros et al. 2019 (DNA),macOS (Mb Air),221,4060,2464926,2,4,4,1580896,106.3,480.25,1580.896
AMAS (--check-align),Alignment concatenation,Oliveros et al. 2019 (DNA),Windows (WSL),221,4060,2464926,12,24,32,2482523.2,106.4,237.326,2482.5232
AMAS (--check-align),Alignment concatenation,Shen et al. 2018 (AA),Linux,90,5162,3050198,12,24,32,1781401.2,102,481.112,1781.4012
AMAS (--check-align),Alignment concatenation,Shen et al. 2018 (AA),macOS,343,2408,1162805,8,8,8,1829971.2,102,403.033,1829.9712
AMAS (--check-align),Alignment concatenation,Shen et al. 2018 (AA),macOS (Mb Air),343,2408,1162805,2,4,4,1331282.8,102,1142.847,1331.2828
AMAS (--check-align),Alignment concatenation,Shen et al. 2018 (AA),Windows (WSL),343,2408,1162805,12,24,32,1785936,102,493.569,1785.936
AMAS (--check-align),Alignment concatenation,Wu et al. 2018 (AA),Linux,90,5162,3050198,12,24,32,1171598,174.4,24.331,1171.598
AMAS (--check-align),Alignment concatenation,Wu et al. 2018 (AA),macOS,90,5162,3050198,8,8,8,1294827.2,177,20.843,1294.8272
AMAS (--check-align),Alignment concatenation,Wu et al. 2018 (AA),macOS (Mb Air),90,5162,3050198,2,4,4,1283716,153.3,71.798,1283.716
AMAS (--check-align),Alignment concatenation,Wu et al. 2018 (AA),Windows (WSL),90,5162,3050198,12,24,32,1165510,183.2,23.913,1165.51
AMAS (--remove-empty),Alignment splitting,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,634014,100.1,5.693,634.014
AMAS (single core),Alignment splitting,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,630076.8,99,5.434,630.0767999999999
Phyluce,Alignment concatenation,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,1732103.6,100,259.805,1732.1036
Phyluce,Alignment concatenation,Chan et al. 2020 (DNA),Windows (WSL),50,13181,6180393,12,24,32,9877586.8,99.9,281.158,9877.586800000001
Phyluce,Alignment concatenation,Esselstyn et al. 2021 (DNA),Linux,102,4040,5398947,12,24,32,2041493,100,212.101,2041.493
Phyluce,Alignment concatenation,Esselstyn et al. 2021 (DNA),Windows (WSL),102,4040,5398947,12,24,32,13488149.8,100,234.048,13488.149800000001
Phyluce,Alignment concatenation,Jarvis et al. 2014 (DNA),Linux,49,3679,9251694,12,24,32,2303425.8,100,211.02,2303.4258
Phyluce,Alignment concatenation,Jarvis et al. 2014 (DNA),Windows (WSL),49,3679,9251694,12,24,32,20626014.6,100,260.7245,20626.014600000002
Phyluce,Alignment concatenation,Oliveros et al. 2019 (DNA),Linux,221,4060,2464926,12,24,32,2337514.2,100,260.6485,2337.5142
Phyluce,Alignment concatenation,Oliveros et al. 2019 (DNA),Windows (WSL),221,4060,2464926,12,24,32,6508149,100,260.882,6508.149
Phyluce,Summary statistics,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,67380.4,2286.8,19.339,67.3804
Phyluce,Summary statistics,Chan et al. 2020 (DNA),Windows (WSL),50,13181,6180393,12,24,32,60006.8,2216.3,21.864,60.0068
Phyluce,Summary statistics,Esselstyn et al. 2021 (DNA),Linux,102,4040,5398947,12,24,32,46879.6,2269.5,26.207,46.879599999999996
Phyluce,Summary statistics,Esselstyn et al. 2021 (DNA),Windows (WSL),102,4040,5398947,12,24,32,39537.2,2204.6,29.395,39.5372
Phyluce,Summary statistics,Jarvis et al. 2014 (DNA),Linux,49,3679,9251694,12,24,32,46483.4,2305.4,32.602000000000004,46.4834
Phyluce,Summary statistics,Jarvis et al. 2014 (DNA),Windows (WSL),49,3679,9251694,12,24,32,39043.2,2289.9,36.415,39.0432
Phyluce,Summary statistics,Oliveros et al. 2019 (DNA),Linux,221,4060,2464926,12,24,32,47819.2,2292.85,35.4715,47.8192
Phyluce,Summary statistics,Oliveros et al. 2019 (DNA),Windows (WSL),221,4060,2464926,12,24,32,40386.4,2251,39.230000000000004,40.386399999999995
SEGUL,Alignment concatenation,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,387489.6,211,1.9129999999999998,387.4896
SEGUL,Alignment concatenation,Chan et al. 2020 (DNA),macOS,50,13181,6180393,8,8,8,397760,145.4,2.137,397.76
SEGUL,Alignment concatenation,Chan et al. 2020 (DNA),macOS (Mb Air),50,13181,6180393,2,4,4,365503.2,124.7,7.688,365.5032
SEGUL,Alignment concatenation,Chan et al. 2020 (DNA),Windows (WSL),50,13181,6180393,12,24,32,384870.8,233.1,3.955,384.8708
SEGUL,Alignment concatenation,Esselstyn et al. 2021 (DNA),Linux,102,4040,5398947,12,24,32,608189.4,142.15,2.975,608.1894
SEGUL,Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS,102,4040,5398947,8,8,8,647956.8,122.1,3.7105,647.9568
SEGUL,Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS (Mb Air),102,4040,5398947,2,4,4,570698,104.6,11.945,570.698
SEGUL,Alignment concatenation,Esselstyn et al. 2021 (DNA),Windows (WSL),102,4040,5398947,12,24,32,603545.4,151.25,5.2524999999999995,603.5454
SEGUL,Alignment concatenation,Jarvis et al. 2014 (DNA),Linux,49,3679,9251694,12,24,32,529035.8,142.75,3.2225,529.0358
SEGUL,Alignment concatenation,Jarvis et al. 2014 (DNA),macOS,49,3679,9251694,8,8,8,607048.8,126.45,3.329,607.0488
SEGUL,Alignment concatenation,Jarvis et al. 2014 (DNA),macOS (Mb Air),49,3679,9251694,2,4,4,465144,111.5,10.744,465.144
SEGUL,Alignment concatenation,Jarvis et al. 2014 (DNA),Windows (WSL),49,3679,9251694,12,24,32,490354.8,170.45,4.177,490.3548
SEGUL,Alignment concatenation,Oliveros et al. 2019 (DNA),Linux,221,4060,2464926,12,24,32,658324.2,156.6,3.2465,658.3242
SEGUL,Alignment concatenation,Oliveros et al. 2019 (DNA),macOS,221,4060,2464926,8,8,8,703405.6,137.25,3.4435000000000002,703.4055999999999
SEGUL,Alignment concatenation,Oliveros et al. 2019 (DNA),macOS (Mb Air),221,4060,2464926,2,4,4,588654.8,118.7,12.497,588.6548
SEGUL,Alignment concatenation,Oliveros et al. 2019 (DNA),Windows (WSL),221,4060,2464926,12,24,32,656224.8,169.05,4.405,656.2248
SEGUL,Alignment concatenation,Shen et al. 2018 (AA),Linux,343,2408,1162805,12,24,32,606434.8,127.4,5.557,606.4348
SEGUL,Alignment concatenation,Shen et al. 2018 (AA),macOS,343,2408,1162805,8,8,8,600420.8,120.9,5.083,600.4208
SEGUL,Alignment concatenation,Shen et al. 2018 (AA),macOS (Mb Air),343,2408,1162805,2,4,4,463884.4,108,17.006,463.88439999999997
SEGUL,Alignment concatenation,Shen et al. 2018 (AA),Windows (WSL),343,2408,1162805,12,24,32,779124.4,130.2,6.745,779.1244
SEGUL,Alignment concatenation,Wu et al. 2018 (AA),Linux,90,5162,3050198,12,24,32,353551.6,134,2.956,353.5516
SEGUL,Alignment concatenation,Wu et al. 2018 (AA),macOS,90,5162,3050198,8,8,8,385496,125.9,2.6,385.496
SEGUL,Alignment concatenation,Wu et al. 2018 (AA),macOS (Mb Air),90,5162,3050198,2,4,4,316970.4,111.7,9.304,316.9704
SEGUL,Alignment concatenation,Wu et al. 2018 (AA),Windows (WSL),90,5162,3050198,12,24,32,349548.4,162.5,3.804,349.5484
SEGUL,Alignment splitting,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,346942.8,165.3,2.46,346.94280000000003
SEGUL,Summary statistics,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,89669.6,1729.6,0.729,89.6696
SEGUL,Summary statistics,Chan et al. 2020 (DNA),macOS,50,13181,6180393,8,8,8,98395.2,666.4,1.588,98.3952
SEGUL,Summary statistics,Chan et al. 2020 (DNA),macOS (Mb Air),50,13181,6180393,2,4,4,76498.8,263.8,13.644,76.4988
SEGUL,Summary statistics,Chan et al. 2020 (DNA),Windows (WSL),50,13181,6180393,12,24,32,85294,1452.4,1.262,85.294
SEGUL,Summary statistics,Esselstyn et al. 2021 (DNA),Linux,102,4040,5398947,12,24,32,63032.6,2068.85,0.7235,63.0326
SEGUL,Summary statistics,Esselstyn et al. 2021 (DNA),macOS,102,4040,5398947,8,8,8,58273.6,745.5,1.764,58.2736
SEGUL,Summary statistics,Esselstyn et al. 2021 (DNA),macOS (Mb Air),102,4040,5398947,2,4,4,43302.8,265.2,15.211,43.302800000000005
SEGUL,Summary statistics,Esselstyn et al. 2021 (DNA),Windows (WSL),102,4040,5398947,12,24,32,62246.4,1800.4,1.002,62.2464
SEGUL,Summary statistics,Jarvis et al. 2014 (DNA),Linux,49,3679,9251694,12,24,32,51509.8,2221.45,0.9455,51.5098
SEGUL,Summary statistics,Jarvis et al. 2014 (DNA),macOS,49,3679,9251694,8,8,8,43976.8,749.05,2.3529999999999998,43.9768
SEGUL,Summary statistics,Jarvis et al. 2014 (DNA),macOS (Mb Air),49,3679,9251694,2,4,4,29466.8,276.4,20.587,29.4668
SEGUL,Summary statistics,Jarvis et al. 2014 (DNA),Windows (WSL),49,3679,9251694,12,24,32,50915.2,1985.9,1.103,50.9152
SEGUL,Summary statistics,Oliveros et al. 2019 (DNA),Linux,221,4060,2464926,12,24,32,111568.6,1884.7,1.091,111.5686
SEGUL,Summary statistics,Oliveros et al. 2019 (DNA),macOS,221,4060,2464926,8,8,8,118354.4,713.45,2.282,118.3544
SEGUL,Summary statistics,Oliveros et al. 2019 (DNA),macOS (Mb Air),221,4060,2464926,2,4,4,87997.2,250.5,20.06,87.99719999999999
SEGUL,Summary statistics,Oliveros et al. 2019 (DNA),Windows (WSL),221,4060,2464926,12,24,32,110924.4,1641.6,1.3170000000000002,110.9244
SEGUL,Summary statistics,Shen et al. 2018 (AA),Linux,343,2408,1162805,12,24,32,155102.4,1885.5,1.118,155.10240000000002
SEGUL,Summary statistics,Shen et al. 2018 (AA),macOS,343,2408,1162805,8,8,8,177408,729.6,2.492,177.40800000000002
SEGUL,Summary statistics,Shen et al. 2018 (AA),macOS (Mb Air),343,2408,1162805,2,4,4,115767.6,336.5,14.6,115.7676
SEGUL,Summary statistics,Shen et al. 2018 (AA),Windows (WSL),343,2408,1162805,12,24,32,157948,1553.6,1.435,157.948
SEGUL,Summary statistics,Wu et al. 2018 (AA),Linux,90,5162,3050198,12,24,32,76212,1907.7,0.6859999999999999,76.212
SEGUL,Summary statistics,Wu et al. 2018 (AA),macOS,90,5162,3050198,8,8,8,71964.8,729.3,1.486,71.9648
SEGUL,Summary statistics,Wu et al. 2018 (AA),macOS (Mb Air),90,5162,3050198,2,4,4,59690.4,329.2,10.34,59.690400000000004
SEGUL,Summary statistics,Wu et al. 2018 (AA),Windows (WSL),90,5162,3050198,12,24,32,74071.2,1642.3,0.945,74.0712
SEGUL (--datatype ignore),Alignment concatenation,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,387167.2,311.5,0.986,387.1672
SEGUL (--datatype ignore),Alignment concatenation,Chan et al. 2020 (DNA),macOS,50,13181,6180393,8,8,8,421611.2,185.8,1.137,421.6112
SEGUL (--datatype ignore),Alignment concatenation,Chan et al. 2020 (DNA),macOS (Mb Air),50,13181,6180393,2,4,4,366226,134.9,5.286,366.226
SEGUL (--datatype ignore),Alignment concatenation,Chan et al. 2020 (DNA),Windows (WSL),50,13181,6180393,12,24,32,386381.2,256.6,3.233,386.3812
SEGUL (--datatype ignore),Alignment concatenation,Esselstyn et al. 2021 (DNA),Linux,102,4040,5398947,12,24,32,607939,214.85,1.0625,607.939
SEGUL (--datatype ignore),Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS,102,4040,5398947,8,8,8,637785.6,160.85,1.3535000000000001,637.7855999999999
SEGUL (--datatype ignore),Alignment concatenation,Esselstyn et al. 2021 (DNA),macOS (Mb Air),102,4040,5398947,2,4,4,575717.2,111.5,5.916,575.7171999999999
SEGUL (--datatype ignore),Alignment concatenation,Esselstyn et al. 2021 (DNA),Windows (WSL),102,4040,5398947,12,24,32,605041.2,201.4,2.749,605.0412
SEGUL (--datatype ignore),Alignment concatenation,Jarvis et al. 2014 (DNA),Linux,49,3679,9251694,12,24,32,528695.8,234.25,1.0425,528.6958
SEGUL (--datatype ignore),Alignment concatenation,Jarvis et al. 2014 (DNA),macOS,49,3679,9251694,8,8,8,602626.4,165.75,1.361,602.6264
SEGUL (--datatype ignore),Alignment concatenation,Jarvis et al. 2014 (DNA),macOS (Mb Air),49,3679,9251694,2,4,4,463082.4,125.1,5.563,463.0824
SEGUL (--datatype ignore),Alignment concatenation,Jarvis et al. 2014 (DNA),Windows (WSL),49,3679,9251694,12,24,32,493950,213.7,2.7960000000000003,493.95
SEGUL (--datatype ignore),Alignment concatenation,Oliveros et al. 2019 (DNA),Linux,221,4060,2464926,12,24,32,658580.2,215.35,1.5965,658.5802
SEGUL (--datatype ignore),Alignment concatenation,Oliveros et al. 2019 (DNA),macOS,221,4060,2464926,8,8,8,698962.4,168.1,1.908,698.9624
SEGUL (--datatype ignore),Alignment concatenation,Oliveros et al. 2019 (DNA),macOS (Mb Air),221,4060,2464926,2,4,4,589428.4,124.7,9.111,589.4284
SEGUL (--datatype ignore),Alignment concatenation,Oliveros et al. 2019 (DNA),Windows (WSL),221,4060,2464926,12,24,32,657724.8,192.2,3.507,657.7248
SEGUL (--datatype ignore),Alignment concatenation,Shen et al. 2018 (AA),Linux,343,2408,1162805,12,24,32,610548.4,215.5,1.343,610.5484
SEGUL (--datatype ignore),Alignment concatenation,Shen et al. 2018 (AA),macOS,343,2408,1162805,8,8,8,606385.6,183.4,1.335,606.3856
SEGUL (--datatype ignore),Alignment concatenation,Shen et al. 2018 (AA),macOS (Mb Air),343,2408,1162805,2,4,4,460538.4,131.1,6.931,460.5384
SEGUL (--datatype ignore),Alignment concatenation,Shen et al. 2018 (AA),Windows (WSL),343,2408,1162805,12,24,32,778745.2,184,2.501,778.7452
SEGUL (--datatype ignore),Alignment concatenation,Wu et al. 2018 (AA),Linux,90,5162,3050198,12,24,32,353682.4,229,0.796,353.6824
SEGUL (--datatype ignore),Alignment concatenation,Wu et al. 2018 (AA),macOS,90,5162,3050198,8,8,8,381022.4,181.6,0.826,381.0224
SEGUL (--datatype ignore),Alignment concatenation,Wu et al. 2018 (AA),macOS (Mb Air),90,5162,3050198,2,4,4,316527.6,129.4,4.358,316.5276
SEGUL (--datatype ignore),Alignment concatenation,Wu et al. 2018 (AA),Windows (WSL),90,5162,3050198,12,24,32,350002.8,236.5,1.863,350.0028
SEGUL (--datatype ignore),Alignment splitting,Chan et al. 2020 (DNA),Linux,50,13181,6180393,12,24,32,347052.8,327,0.677,347.0528
