programs,dataset,execution_time,execution_time_secs,ram_usage,ram_usage_Mb,cpu_usage
Phyluce,esselstyn_2021_nexus_trimmed,03:54.3,234.28,"13,486,308","13,486.308",100%
Phyluce,esselstyn_2021_nexus_trimmed,03:55.9,235.90,"13,480,252","13,480.252",100%
Phyluce,esselstyn_2021_nexus_trimmed,03:51.5,231.47,"13,480,172","13,480.172",100%
Phyluce,esselstyn_2021_nexus_trimmed,03:50.7,230.73,"13,480,544","13,480.544",100%
Phyluce,esselstyn_2021_nexus_trimmed,03:58.0,237.97,"13,488,304","13,488.304",100%
Phyluce,esselstyn_2021_nexus_trimmed,03:53.4,233.44,"13,500,040","13,500.040",100%
Phyluce,esselstyn_2021_nexus_trimmed,03:51.7,231.70,"13,496,004","13,496.004",100%
Phyluce,esselstyn_2021_nexus_trimmed,03:53.1,233.13,"13,494,508","13,494.508",100%
Phyluce,esselstyn_2021_nexus_trimmed,03:50.2,230.23,"13,488,736","13,488.736",100%
Phyluce,esselstyn_2021_nexus_trimmed,03:57.5,237.47,"13,500,588","13,500.588",100%
Phyluce,oliveros_2019_80p_trimmed,04:22.0,261.99,"6,508,132","6,508.132",100%
Phyluce,oliveros_2019_80p_trimmed,04:16.8,256.80,"6,508,788","6,508.788",100%
Phyluce,oliveros_2019_80p_trimmed,04:20.5,260.50,"6,508,264","6,508.264",100%
Phyluce,oliveros_2019_80p_trimmed,04:18.4,258.38,"6,506,688","6,506.688",100%
Phyluce,oliveros_2019_80p_trimmed,04:20.2,260.20,"6,509,404","6,509.404",100%
Phyluce,oliveros_2019_80p_trimmed,04:22.3,262.30,"6,505,652","6,505.652",100%
Phyluce,oliveros_2019_80p_trimmed,04:16.8,256.83,"6,509,500","6,509.500",100%
Phyluce,oliveros_2019_80p_trimmed,04:26.3,266.29,"6,507,124","6,507.124",100%
Phyluce,oliveros_2019_80p_trimmed,04:21.2,261.18,"6,509,392","6,509.392",100%
Phyluce,oliveros_2019_80p_trimmed,04:23.6,263.65,"6,508,028","6,508.028",100%
Phyluce,jarvis_2014_uce_filtered_w_gator,04:22.8,262.78,"20,661,916","20,661.916",100%
Phyluce,jarvis_2014_uce_filtered_w_gator,04:17.7,257.74,"20,616,868","20,616.868",100%
Phyluce,jarvis_2014_uce_filtered_w_gator,04:17.4,257.41,"20,658,812","20,658.812",100%
Phyluce,jarvis_2014_uce_filtered_w_gator,04:18.7,258.66,"20,646,228","20,646.228",100%
Phyluce,jarvis_2014_uce_filtered_w_gator,04:25.1,265.05,"20,629,016","20,629.016",100%
Phyluce,jarvis_2014_uce_filtered_w_gator,04:17.6,257.61,"20,619,840","20,619.840",100%
Phyluce,jarvis_2014_uce_filtered_w_gator,04:24.0,264.00,"20,627,032","20,627.032",100%
Phyluce,jarvis_2014_uce_filtered_w_gator,04:20.9,260.86,"20,618,756","20,618.756",100%
Phyluce,jarvis_2014_uce_filtered_w_gator,04:19.5,259.46,"20,635,164","20,635.164",100%
Phyluce,jarvis_2014_uce_filtered_w_gator,04:25.3,265.29,"20,593,224","20,593.224",100%
