CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 3900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
NUMA node0 CPU(s):               0-23
5.16.11-1-default
segul 0.16.3
Benchmarking SEGUL
0:11.16 2053244 204%
Dataset path: alignments/oliveros_2019_80p_trimmed
3:17.99 2314788 110%
3:19.64 2314188 110%
3:32.22 2315092 109%
3:29.47 2316672 109%
4:41.85 2315236 107%
3:15.73 2317036 110%
3:14.82 2314680 110%
3:20.72 2314552 109%
3:18.87 2314264 110%
3:18.23 2314516 110%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:05.58 1843216 381%
0:05.61 1842588 384%
0:05.42 1841960 395%
0:05.60 1845424 384%
0:05.57 1845548 387%
0:05.60 1841840 386%
0:05.60 1843936 386%
0:05.55 1842796 385%
0:07.39 1842720 311%
0:05.65 1842756 376%
Dataset path: alignments/chan_2020_loci/
0:10.36 1292224 203%
0:10.27 1292812 203%
0:10.28 1290184 203%
0:10.60 1290688 200%
0:10.09 1290280 205%
0:10.43 1290772 199%
0:09.92 1293008 207%
0:10.31 1290388 203%
0:10.33 1292868 201%
0:10.40 1292520 203%

Benchmarking Phyluce
Dataset path: alignments/esselstyn_2021_nexus_trimmed
3:33.31 2052648 100%
3:28.17 2076516 100%
3:34.32 2019516 100%
3:30.50 2018692 100%
3:28.83 2033668 100%
3:35.35 2044796 100%
3:36.50 2032488 100%
3:32.83 2038628 100%
3:33.68 2053800 100%
3:31.53 2038656 100%
Dataset path: alignments/oliveros_2019_80p_trimmed
4:31.55 2344444 100%
4:27.90 2343816 100%
4:13.67 2346808 100%
4:21.01 2328164 100%
4:22.12 2346544 100%
4:14.40 2347372 100%
4:19.15 2343784 100%
4:20.80 2349912 100%
4:19.51 2347276 100%
4:25.42 2347824 100%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
3:27.06 2301044 100%
3:31.88 2297912 100%
3:31.97 2292912 100%
3:31.92 2300524 100%
3:29.21 2309296 100%
3:30.11 2292836 100%
3:26.47 2294500 100%
3:30.50 2293160 100%
3:32.51 2299452 100%
3:24.27 2293780 100%
Dataset path: alignments/chan_2020_loci/
4:17.44 1731812 100%
4:20.60 1733220 100%
4:20.34 1729168 100%
4:20.50 1731836 100%
4:17.82 1730512 100%
4:19.44 1734312 100%
4:20.89 1729736 100%
4:19.19 1734420 100%
4:23.50 1734392 100%
4:18.33 1731628 100%
