CPU(s):                          24
On-line CPU(s) list:             0-23
Model name:                      AMD Ryzen 9 5900X 12-Core Processor
Thread(s) per core:              2
Core(s) per socket:              12
CPU(s) scaling MHz:              66%
NUMA node0 CPU(s):               0-23
6.3.7-1-default
segul 0.19.0
v0.3.5
Benchmarking SEGUL
3:37.94 2312772 107%
3:30.42 2315864 107%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:05.06 1841320 371%
0:05.01 1840296 375%
0:05.04 1834508 372%
0:04.72 1843084 393%
0:04.93 1834620 379%
0:04.97 1841228 379%
0:05.02 1844208 376%
0:04.84 1841844 383%
0:04.96 1841276 382%
0:05.00 1840456 377%
Dataset path: alignments/chan_2020_loci/
0:08.82 1292868 205%
0:09.16 1290300 199%
0:09.10 1290888 199%
0:09.09 1292284 197%
0:08.93 1290744 201%
0:09.14 1290256 200%
0:09.33 1290896 198%
0:09.09 1290960 198%
0:09.23 1290264 197%
0:09.42 1290216 195%

Benchmarking goalign st

Dataset path: alignments/esselstyn_2021_nexus_trimmed
0:04.75 2474604 100%
0:04.73 2563764 99%
0:04.80 3432344 100%
0:04.84 3470096 100%
0:04.77 3474476 99%
0:04.77 3451508 100%
0:04.77 3481228 100%
0:04.78 3447400 100%
0:04.74 2890400 100%
0:04.79 3499208 100%

Dataset path: alignments/oliveros_2019_80p_trimmed
0:06.95 2958792 100%
0:06.87 3344568 99%
0:06.84 2964444 100%
0:07.02 2842148 100%
0:06.80 2981772 100%
0:06.92 2971360 100%
0:07.00 3494988 100%
0:06.77 2979432 99%
0:06.98 2967272 100%
0:07.00 2968832 100%

Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
0:04.90 2550840 100%
0:04.95 3043556 100%
0:04.99 3060416 100%
0:04.85 2609868 99%
0:04.92 3020416 100%
0:05.03 2566880 100%
0:04.96 2582772 100%
0:05.01 3085800 100%
0:04.82 2097676 99%
0:05.04 3043612 100%

Dataset path: alignments/chan_2020_loci/
0:03.33 1709580 100%
0:03.34 1727836 100%
0:03.37 1703584 100%
0:03.29 1997712 99%
0:03.25 1693080 99%
0:03.27 1734060 99%
0:03.36 1733564 100%
0:03.27 1697932 100%
0:03.28 1691444 100%
0:03.33 1697684 100%

Benchmarking Phyluce
Dataset path: alignments/esselstyn_2021_nexus_trimmed
2:55.36 2030384 100%
2:58.63 2042108 100%
2:54.42 2028696 100%
2:52.53 2043228 100%
2:59.32 2032584 100%
2:56.46 2029604 100%
2:58.25 2027700 100%
2:56.54 2046728 100%
2:55.88 2031368 100%
2:54.03 2027168 100%
Dataset path: alignments/oliveros_2019_80p_trimmed
3:30.60 2347576 100%
3:28.93 2317744 100%
3:33.05 2317668 100%
3:39.55 2334640 100%
3:40.11 2334680 100%
3:36.54 2361612 100%
3:37.18 2317704 100%
3:34.34 2319616 100%
3:36.67 2317768 100%
3:33.56 2361708 100%
Dataset path: alignments/jarvis_2014_uce_filtered_w_gator
2:52.85 2296572 100%
2:48.88 2292484 100%
2:52.52 2291760 100%
2:51.98 2291764 100%
2:51.66 2291992 100%
2:47.10 2294076 100%
2:52.44 2295292 100%
2:51.37 2291612 100%
2:53.11 2300008 100%
2:55.18 2292128 100%
Dataset path: alignments/chan_2020_loci/
3:44.99 1714624 100%
3:40.00 1715496 100%
3:38.63 1716736 100%
3:42.08 1714176 100%
3:40.56 1714112 100%
3:40.96 1714496 100%
3:40.54 1714476 100%
3:41.60 1716312 100%
3:41.52 1717432 100%
3:38.44 1740564 100%
